Range 150
ChargingEfficiency 0.9
NumParallelCells 2
NumSeriesBlocks 96
CapacityCell 33.1
CapacitySafeRangeUpper 0.9
CapacitySafeRangeLower 0.1
VoltageNominalCell 3.75
ResistanceInternalCell 0.01
VoltageMaximum 4.2
SOC, Voltage
0,3.0134
0.1,3.0193
0.2,3.0252
0.3,3.031
0.4,3.0368
0.5,3.0425
0.6,3.0482
0.7,3.0538
0.8,3.0595
0.9,3.065
1,3.0706
1.1,3.0761
1.2,3.0816
1.3,3.087
1.4,3.0924
1.5,3.0978
1.6,3.1031
1.7,3.1084
1.8,3.1136
1.9,3.1189
2,3.124
2.1,3.1292
2.2,3.1343
2.3,3.1394
2.4,3.1444
2.5,3.1494
2.6,3.1544
2.7,3.1593
2.8,3.1643
2.9,3.1691
3,3.174
3.1,3.1788
3.2,3.1835
3.3,3.1883
3.4,3.193
3.5,3.1977
3.6,3.2023
3.7,3.2069
3.8,3.2115
3.9,3.2161
4,3.2206
4.1,3.2251
4.2,3.2295
4.3,3.2339
4.4,3.2383
4.5,3.2427
4.6,3.247
4.7,3.2513
4.8,3.2556
4.9,3.2598
5,3.264
5.1,3.2682
5.2,3.2724
5.3,3.2765
5.4,3.2806
5.5,3.2847
5.6,3.2887
5.7,3.2927
5.8,3.2967
5.9,3.3006
6,3.3045
6.1,3.3084
6.2,3.3123
6.3,3.3161
6.4,3.32
6.5,3.3237
6.6,3.3275
6.7,3.3312
6.8,3.3349
6.9,3.3386
7,3.3423
7.1,3.3459
7.2,3.3495
7.3,3.353
7.4,3.3566
7.5,3.3601
7.6,3.3636
7.7,3.3671
7.8,3.3705
7.9,3.3739
8,3.3773
8.1,3.3807
8.2,3.384
8.3,3.3874
8.4,3.3907
8.5,3.3939
8.6,3.3972
8.7,3.4004
8.8,3.4036
8.9,3.4068
9,3.4099
9.1,3.4131
9.2,3.4162
9.3,3.4193
9.4,3.4223
9.5,3.4254
9.6,3.4284
9.7,3.4314
9.8,3.4343
9.9,3.4373
10,3.4402
10.1,3.4431
10.2,3.446
10.3,3.4489
10.4,3.4517
10.5,3.4545
10.6,3.4573
10.7,3.4601
10.8,3.4629
10.9,3.4656
11,3.4683
11.1,3.471
11.2,3.4737
11.3,3.4763
11.4,3.479
11.5,3.4816
11.6,3.4842
11.7,3.4867
11.8,3.4893
11.9,3.4918
12,3.4944
12.1,3.4969
12.2,3.4993
12.3,3.5018
12.4,3.5042
12.5,3.5067
12.6,3.5091
12.7,3.5115
12.8,3.5138
12.9,3.5162
13,3.5185
13.1,3.5208
13.2,3.5231
13.3,3.5254
13.4,3.5277
13.5,3.5299
13.6,3.5321
13.7,3.5343
13.8,3.5365
13.9,3.5387
14,3.5409
14.1,3.543
14.2,3.5451
14.3,3.5472
14.4,3.5493
14.5,3.5514
14.6,3.5535
14.7,3.5555
14.8,3.5576
14.9,3.5596
15,3.5616
15.1,3.5635
15.2,3.5655
15.3,3.5675
15.4,3.5694
15.5,3.5713
15.6,3.5732
15.7,3.5751
15.8,3.577
15.9,3.5789
16,3.5807
16.1,3.5826
16.2,3.5844
16.3,3.5862
16.4,3.588
16.5,3.5897
16.6,3.5915
16.7,3.5933
16.8,3.595
16.9,3.5967
17,3.5984
17.1,3.6001
17.2,3.6018
17.3,3.6035
17.4,3.6051
17.5,3.6068
17.6,3.6084
17.7,3.61
17.8,3.6116
17.9,3.6132
18,3.6148
18.1,3.6164
18.2,3.6179
18.3,3.6195
18.4,3.621
18.5,3.6225
18.6,3.6241
18.7,3.6256
18.8,3.627
18.9,3.6285
19,3.63
19.1,3.6314
19.2,3.6329
19.3,3.6343
19.4,3.6357
19.5,3.6371
19.6,3.6385
19.7,3.6399
19.8,3.6413
19.9,3.6426
20,3.644
20.1,3.6453
20.2,3.6467
20.3,3.648
20.4,3.6493
20.5,3.6506
20.6,3.6519
20.7,3.6532
20.8,3.6545
20.9,3.6557
21,3.657
21.1,3.6582
21.2,3.6595
21.3,3.6607
21.4,3.6619
21.5,3.6631
21.6,3.6643
21.7,3.6655
21.8,3.6667
21.9,3.6678
22,3.669
22.1,3.6701
22.2,3.6713
22.3,3.6724
22.4,3.6735
22.5,3.6747
22.6,3.6758
22.7,3.6769
22.8,3.678
22.9,3.6791
23,3.6801
23.1,3.6812
